,,All Sectors,Accommodation & Food,Administrative & Support,"Agriculture, Forestry & Fishing","Arts, Entertainment & Rec.",Construction,Education,"Electricity, Gas, Steam & AC",Financial & Insurance,Human Health & Social Work,Information & Communication,Manufacturing,Mining & Quarrying,Other,"Prof., Scientific & Technical",Public Administration & Defence,Real Estate,Transportation & Storage,Water Supply,Wholesale & Retail
2017-2019,Jan,13058,695,1122,83,245,934,882,214,516,2224,541,982,2,117,1058,587,187,672,75,1922
2017-2019,Feb,12591,653,1061,78,237,917,867,203,490,2163,533,958,2,114,1037,580,183,637,69,1809
2017-2019,Mar,13912,753,1166,85,267,996,976,225,563,2380,592,1024,3,123,1165,652,205,677,77,1982
2017-2019,Apr,14673,811,1234,92,278,1061,1023,243,610,2431,660,1067,3,126,1253,690,221,720,80,2072
2017-2019,May,15200,847,1288,100,284,1101,1052,255,622,2503,676,1115,4,132,1281,709,229,762,86,2154
2017-2019,Jun,14895,814,1273,102,283,1071,1002,252,607,2436,675,1109,4,130,1226,685,222,781,86,2137
2017-2019,Jul,14492,785,1245,99,275,1036,990,242,592,2383,645,1082,4,125,1162,663,217,783,85,2079
2017-2019,Aug,14324,825,1247,96,287,1023,901,240,564,2410,608,1081,3,122,1134,640,210,775,85,2072
2017-2019,Sep,13222,773,1154,88,267,945,851,216,498,2241,548,982,3,112,1022,589,190,740,79,1925
2017-2019,Oct,13834,804,1208,95,283,986,935,222,503,2300,543,1034,2,122,1076,614,192,776,82,2056
2017-2019,Nov,13597,761,1177,89,261,981,1006,229,509,2236,533,1034,2,117,1069,606,185,732,80,1992
2017-2019,Dec,12730,669,1096,82,231,929,941,211,481,2144,482,987,2,109,1049,570,174,678,74,1820
2020,Jan,8550,408,749,46,163,580,742,137,286,1681,284,634,1,73,667,391,113,428,46,1122
2020,Feb,9241,486,821,51,178,629,797,148,313,1748,313,695,2,79,708,410,118,459,51,1235
2020,Mar,9508,509,851,62,195,601,799,139,334,1885,319,686,2,82,719,432,134,463,51,1246
2020,Apr,7018,268,631,37,129,382,676,87,226,1837,218,476,1,58,462,305,89,305,34,795
2020,May,6316,176,557,30,104,314,678,64,163,2039,179,389,2,39,349,262,64,253,32,621
2020,Jun,6376,148,566,33,95,333,738,67,155,1980,185,400,2,40,330,263,62,280,33,667
2020,Jul,7795,201,694,49,129,453,836,92,193,2160,216,536,2,51,430,323,81,389,45,914
2020,Aug,8836,303,789,54,159,553,777,111,245,2418,270,551,2,65,512,377,101,469,49,1030
2020,Sep,10431,431,922,69,198,672,814,130,296,2644,321,675,3,82,638,447,131,616,57,1285
2020,Oct,12471,520,1090,89,232,834,875,159,382,3020,381,798,4,101,779,544,159,793,70,1640
2020,Nov,11169,407,975,76,200,756,898,146,349,2646,322,731,4,85,685,491,139,714,61,1483
2020,Dec,10993,345,954,74,206,725,892,148,363,2665,352,711,3,84,679,501,140,657,61,1432
2021,Jan,10410,291,887,66,192,688,843,144,365,2545,372,697,4,80,679,487,128,577,58,1307
2021,Feb,10173,261,855,73,185,688,715,144,374,2439,392,718,3,87,711,483,122,602,56,1266
2021,Mar,11748,333,1008,90,206,822,821,162,429,2752,430,806,4,108,841,541,142,711,63,1479
2021,Apr,13129,466,1133,105,231,958,958,185,451,2814,453,940,5,120,931,586,155,846,78,1714
2021,May,13541,592,1181,108,256,960,1034,186,464,2709,443,986,6,116,964,606,173,873,83,1801
2021,Jun,13658,662,1204,108,272,943,1043,195,448,2610,438,1010,4,121,949,611,182,892,83,1882
2021,Jul,14265,736,1277,113,293,999,990,204,470,2735,465,1069,4,126,995,651,189,880,85,1985
2021,Aug,15471,842,1396,121,314,1066,1113,223,507,3079,504,1107,4,145,1025,725,202,866,92,2140
2021,Sep,15846,904,1435,122,328,1051,1146,226,505,3261,511,1104,4,142,1016,744,217,842,96,2193
2021,Oct,16078,960,1454,119,322,1064,1143,234,514,3295,522,1105,3,142,1017,763,223,842,97,2258
2021,Nov,16718,1026,1527,122,326,1091,1014,236,542,3473,579,1180,4,145,1067,800,237,882,101,2365
2021,Dec,14013,824,1303,100,259,891,822,205,459,3050,489,982,3,116,861,683,206,761,83,1919
2022,Jan,12845,663,1183,91,247,879,775,201,406,2852,439,963,2,97,778,614,168,689,73,1726
2022,Feb,13722,765,1283,95,306,988,902,225,445,2843,442,1041,1,111,865,620,168,735,81,1806
2022,Mar,16375,930,1533,117,349,1159,1097,262,534,3233,524,1295,1,126,1054,732,205,919,102,2204
2022,Apr,15196,889,1409,106,327,1011,975,242,501,3147,500,1142,2,127,974,685,192,842,92,2034
2022,May,14256,907,1319,98,297,877,948,213,440,3112,448,1041,1,124,901,640,177,743,81,1888
2022,Jun,13098,853,1202,82,272,754,886,188,391,2977,435,913,1,115,828,611,153,639,69,1729
2022,Jul,13108,859,1210,92,271,751,813,191,388,2869,448,937,2,119,845,610,153,670,68,1810
2022,Aug,12508,784,1134,91,262,766,707,190,404,2628,442,926,2,116,836,593,147,652,66,1761
2022,Sep,12355,767,1121,89,260,823,696,197,416,2384,424,944,2,117,847,581,151,688,67,1782
2022,Oct,13004,810,1205,87,262,794,808,197,434,2658,418,934,2,122,877,609,162,688,69,1869
2022,Nov,14997,947,1388,97,304,900,1068,213,487,3044,473,1050,2,142,1021,697,192,763,79,2129
2022,Dec,15644,1007,1458,105,338,887,1112,220,526,3263,565,1012,2,149,1062,737,188,744,75,2196
2023,Jan,16385,1028,1575,103,361,955,1123,227,574,3496,582,1043,2,159,1111,799,191,762,76,2217
2023,Feb,16909,1017,1592,106,363,1036,1220,235,616,3561,690,1076,1,167,1138,828,209,744,75,2237
2023,Mar,18419,1106,1724,128,406,1157,1480,256,631,3803,630,1210,2,190,1223,872,235,827,87,2452
2023,Apr,18813,1162,1718,134,426,1196,1616,268,605,3787,540,1291,1,189,1223,858,225,909,90,2572
2023,May,22124,1417,2028,173,511,1422,1905,318,704,4161,641,1565,2,214,1422,1010,258,1152,110,3111
2023,Jun,23171,1483,2134,181,542,1548,1917,348,744,4109,706,1667,2,227,1519,1056,282,1286,120,3299
2023,Jul,22100,1470,2020,170,501,1512,1701,333,678,3982,663,1593,2,220,1446,1022,272,1264,120,3130
2023,Aug,17701,1249,1602,126,390,1179,1239,256,509,3463,487,1277,2,176,1130,814,216,991,103,2490
2023,Sep,15711,1148,1461,122,346,969,1176,225,435,3048,410,1115,2,159,982,686,196,876,92,2264
2023,Oct,21818,1500,2044,172,474,1363,1736,302,635,4098,572,1561,2,215,1406,954,287,1227,126,3142
